IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
Ribonuclease III domain (IPR000999)	0	0	0	2	0	0	0	0	0	0	5	0	5	0	5	7	3	5	2	5
"DNA polymerase III, beta sliding clamp (IPR001001)"	1	0	0	0	0	0	0	1	0	0	3	0	3	0	1	4	4	4	0	4
Ferrochelatase (IPR001015)	0	2	0	0	0	0	3	0	0	0	4	0	4	0	3	4	3	4	0	4
"Dehydrogenase, E1 component (IPR001017)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
"Guanine nucleotide binding protein (G-protein), alpha subunit (IPR001019)"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ribosomal protein L25, long-form (IPR001021)"	0	0	0	0	0	0	0	1	0	0	2	1	2	0	2	2	2	2	1	2
"Flagellin, N-terminal domain (IPR001029)"	0	0	0	0	0	0	1	0	0	0	5	1	5	0	5	4	5	5	2	6
"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain (IPR001030)"	3	0	1	0	0	0	0	0	0	4	2	1	1	0	2	6	1	1	5	2
DeoR-type HTH domain (IPR001034)	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Acriflavin resistance protein (IPR001036)	0	30	0	0	2	4	14	13	0	0	37	29	36	3	36	33	41	38	21	41
2Fe-2S ferredoxin-type iron-sulfur binding domain (IPR001041)	0	4	2	0	0	0	2	0	0	0	4	4	4	0	2	4	4	4	2	4
Spermidine/spermine synthases (IPR001045)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	0	2	0	2
NRAMP family (IPR001046)	0	0	5	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	5	0
Aspartate/glutamate/uridylate kinase (IPR001048)	0	0	1	0	0	0	0	0	0	0	3	1	2	0	2	3	2	2	1	2
Adenylyl cyclase class-3/4/guanylyl cyclase (IPR001054)	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Adrenodoxin (IPR001055)	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamate/acetylglutamate kinase (IPR001057)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Translation elongation factor P/YeiP, central (IPR001059)"	0	0	0	0	0	0	3	0	0	0	3	0	3	0	3	3	2	3	0	3
"Transcription antitermination protein, NusG (IPR001062)"	0	0	0	0	0	0	0	0	0	0	4	0	4	0	6	6	5	6	3	6
Ribosomal protein L22/L17 (IPR001063)	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	3	0	2	2	2
"NIF system FeS cluster assembly, NifU, C-terminal (IPR001075)"	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	2	2	2	0	2
"2-oxoacid dehydrogenase acyltransferase, catalytic domain (IPR001078)"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0
Serine hydroxymethyltransferase (IPR001085)	0	0	0	0	0	0	0	2	0	0	4	0	4	0	3	4	4	4	0	4
Prephenate dehydratase (IPR001086)	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDSL lipase/esterase (IPR001087)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Restriction/modification DNA-methyltransferase (IPR001091)	0	0	0	0	0	0	7	3	0	0	20	3	25	0	15	22	15	26	0	41
IMP dehydrogenase/GMP reductase (IPR001093)	0	0	0	0	1	0	0	1	0	0	5	2	4	0	7	6	4	5	0	4
Flavodoxin-like (IPR001094)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
"Acetyl-CoA carboxylase, alpha subunit (IPR001095)"	0	0	0	0	0	0	7	0	0	0	10	0	7	0	6	10	10	10	0	10
"DNA-directed DNA polymerase, family A, palm domain (IPR001098)"	0	0	0	0	0	0	0	3	0	0	2	0	2	0	2	4	2	2	1	2
Aromatic amino acid lyase (IPR001106)	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Band 7 domain (IPR001107)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	2	2	2	0	2
"Hydrogenase expression/formation protein, HupF/HypC (IPR001109)"	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	7	7	7	0	7
Adenylosuccinate synthetase (IPR001114)	0	0	0	0	0	0	0	4	0	0	6	8	9	0	10	10	6	10	4	6
S-layer homology domain (IPR001119)	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amino acid exporter protein, LeuE-type (IPR001123)"	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	2	2	2	0	2
"Phosphotransferase system, sugar-specific permease EIIA type 1 (IPR001127)"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cytochrome P450 (IPR001128)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3'-5' ssDNA/RNA exonuclease TatD-like (IPR001130)	1	0	0	0	0	0	1	0	0	0	3	0	3	0	2	6	3	3	3	3
"Peptidase M24B, X-Pro dipeptidase/aminopeptidase P, conserved site (IPR001131)"	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	1
NADH-ubiquinone oxidoreductase chain 4L/K (IPR001133)	0	0	1	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	0	4
"NADH-quinone oxidoreductase, subunit D (IPR001135)"	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1
Zn(2)-C6 fungal-type DNA-binding domain (IPR001138)	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycoside hydrolase family 30 (IPR001139)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpha carbonic anhydrase domain (IPR001148)	0	0	0	0	0	0	3	0	0	0	3	2	3	0	3	3	3	3	3	3
Glycine radical domain (IPR001150)	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"NADH:flavin oxidoreductase/NADH oxidase, N-terminal (IPR001155)"	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"UvrC, RNAse H endonuclease domain (IPR001162)"	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
Flagellar motor switch FliN/Type III secretion HrcQb (IPR001172)	0	3	0	0	0	0	0	0	0	0	8	0	8	0	3	8	6	8	4	8
Glycosyltransferase 2-like (IPR001173)	0	4	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1
FKBP-type peptidyl-prolyl cis-trans isomerase domain (IPR001179)	0	0	0	0	0	2	2	1	0	2	4	2	4	0	2	4	4	4	5	4
Probable peptidoglycan glycosyltransferase FtsW/RodA (IPR001182)	2	3	0	0	0	0	4	2	2	0	6	2	4	0	10	12	6	4	7	4
Manganese/iron superoxide dismutase (IPR001189)	0	0	0	0	0	0	4	3	0	0	4	0	0	0	0	5	5	5	0	5
SRCR domain (IPR001190)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphate transporter (IPR001204)	0	0	0	0	0	0	2	2	0	0	2	0	6	0	4	2	4	2	0	2
"Transposase, mutator type (IPR001207)"	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	4	0
MCM domain (IPR001208)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein S14 (IPR001209)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site (IPR001216)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Acyl transferase domain superfamily (IPR001227)	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	2	1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IPR001228)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1
"RNA-splicing ligase, RtcB (IPR001233)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
N-(5'phosphoribosyl) anthranilate isomerase (PRAI) domain (IPR001240)	0	0	0	0	0	0	0	1	0	0	3	0	2	0	2	3	3	3	3	3
"DNA topoisomerase, type IIA (IPR001241)"	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	0	1
Condensation domain (IPR001242)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exoribonuclease, phosphorolytic domain 1 (IPR001247)"	0	1	0	0	0	0	1	0	0	0	2	1	2	0	2	3	2	2	0	2
Purine-cytosine permease (IPR001248)	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Acetyl-CoA biotin carboxyl carrier (IPR001249)	0	0	0	0	0	0	0	4	0	0	4	0	4	0	3	4	0	4	2	4
"Mannose-6-phosphate isomerase, type I (IPR001250)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Serine proteases, trypsin domain (IPR001254)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
"Coproporphyrinogen III oxidase, aerobic (IPR001260)"	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ArgE/DapE/ACY1/CPG2/YscS, conserved site (IPR001261)"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1
"Glycosyl transferase, family 51 (IPR001264)"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	4
"NADH:ubiquinone oxidoreductase, 30kDa subunit (IPR001268)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
tRNA-dihydrouridine synthase (IPR001269)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
ClpA/B family (IPR001270)	5	0	0	0	0	0	3	3	0	0	8	3	8	0	6	10	2	8	0	8
"Phosphoenolpyruvate carboxykinase, ATP-utilising (IPR001272)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arginine-tRNA ligase (IPR001278)	0	0	0	0	0	0	1	1	0	0	6	0	4	0	7	8	7	7	4	8
Metallo-beta-lactamase (IPR001279)	0	1	0	0	0	0	1	0	1	0	3	2	5	0	2	6	4	4	0	4
Glucose-6-phosphate dehydrogenase (IPR001282)	0	0	3	0	0	0	5	1	0	0	9	0	1	0	5	7	6	9	0	10
Translation initiation factor 3 (IPR001288)	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	3	2	3	3	3
"Dihydroorotate dehydrogenase, conserved site (IPR001295)"	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	2
"Glycosyl transferase, family 1 (IPR001296)"	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	2	1	1	0	1
Class II aldolase/adducin N-terminal (IPR001303)	0	3	0	0	0	0	0	0	0	0	2	0	2	0	2	2	1	2	0	2
"Heat shock protein DnaJ, cysteine-rich domain (IPR001305)"	0	0	3	0	0	0	3	0	0	0	2	0	3	0	3	3	0	3	3	3
Electron transfer flavoprotein alpha subunit/FixB (IPR001308)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Histidine triad (HIT) protein (IPR001310)	0	0	0	0	0	0	4	1	0	0	2	0	1	0	2	4	4	2	0	5
Hexokinase (IPR001312)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptidyl-tRNA hydrolase (IPR001328)	0	0	0	0	0	0	3	1	0	0	5	4	4	0	4	7	4	8	0	5
PFTB repeat (IPR001330)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspartate kinase (IPR001341)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Homoserine dehydrogenase, catalytic (IPR001342)"	0	0	0	0	0	0	1	1	0	0	1	0	2	0	1	1	1	1	0	1
RTX calcium-binding nonapeptide repeat (IPR001343)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"Phosphoglycerate/bisphosphoglycerate mutase, active site (IPR001345)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
SIS domain (IPR001347)	0	0	2	0	0	0	8	2	0	0	8	2	8	0	10	8	7	8	3	8
ATP phosphoribosyltransferase HisG (IPR001348)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Ribosomal protein S3, C-terminal (IPR001351)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
Ribonuclease HII/HIII (IPR001352)	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	2
"Proteasome, subunit alpha/beta (IPR001353)"	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	1	1	1	0	1
BRCT domain (IPR001357)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	0	3	0	3
Glycoside hydrolase family 1 (IPR001360)	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peptidase S9, prolyl oligopeptidase, catalytic domain (IPR001375)"	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein L28 (IPR001383)	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	2	2	0	2
Cro/C1-type helix-turn-helix domain (IPR001387)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Synaptobrevin-like (IPR001388)	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heat shock protein Hsp90 family (IPR001404)	0	1	0	0	0	0	1	1	0	0	4	0	4	0	5	4	3	4	2	4
"Pseudouridine synthase I, TruA (IPR001406)"	0	0	0	0	0	0	0	0	0	0	5	0	3	0	5	5	1	5	1	5
"Aminoacyl-tRNA synthetase, class I, conserved site (IPR001412)"	0	0	2	0	0	0	2	0	0	0	6	2	7	0	5	8	3	8	2	8
"Peptidase M16, zinc-binding site (IPR001431)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1
Oxidoreductase FAD/NAD(P)-binding (IPR001433)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"Transcription elongation factor, GreA/GreB, C-terminal (IPR001437)"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	0	1
Decaprenyl diphosphate synthase-like (IPR001441)	0	0	0	0	0	0	0	4	0	0	5	0	5	4	3	5	5	5	0	5
"Flagellar basal body rod protein, N-terminal (IPR001444)"	0	0	0	0	0	0	1	1	0	0	6	2	4	0	6	5	4	5	1	5
Hexapeptide repeat (IPR001451)	0	1	0	0	0	0	3	1	0	0	9	0	8	0	9	9	6	9	2	9
MoaB/Mog domain (IPR001453)	0	3	0	0	0	0	3	0	0	0	7	4	7	0	3	4	5	7	3	7
"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 (IPR001457)"	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1
"Penicillin-binding protein, transpeptidase (IPR001460)"	0	1	0	0	0	0	3	3	0	0	4	2	3	0	4	4	4	4	1	4
Sodium:alanine symporter (IPR001463)	0	0	0	0	0	0	0	4	0	0	9	0	13	0	5	14	9	9	6	9
Beta-lactamase-related (IPR001466)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Indole-3-glycerol phosphate synthase, conserved site (IPR001468)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"ATP synthase, F1 complex, delta/epsilon subunit (IPR001469)"	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	4	4	4	0	4
GTP cyclohydrolase I (IPR001474)	0	0	0	0	0	0	2	0	0	0	0	0	3	0	3	3	0	3	0	3
PDZ domain (IPR001478)	0	2	0	0	0	0	3	0	0	0	9	5	7	0	8	9	6	9	3	9
Type II/IV secretion system protein (IPR001482)	0	1	0	0	0	0	0	0	0	0	3	0	3	0	5	5	2	2	1	4
Flagellin (IPR001492)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	6	6	6	6	2	6
"Methylated-DNA-[protein]-cysteine S-methyltransferase, active site (IPR001497)"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	2	0	1
"Impact, N-terminal (IPR001498)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	1	0	1
"Nickel-dependent hydrogenase, large subunit (IPR001501)"	0	0	0	0	0	0	1	0	0	0	2	2	1	0	2	1	2	1	1	1
Glycosyl transferase family 10 (IPR001503)	0	0	0	0	0	0	2	0	0	0	2	2	2	0	2	0	2	2	0	2
Copper centre Cu(A) (IPR001505)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent epimerase/dehydratase (IPR001509)	0	2	0	0	0	0	0	1	0	0	2	0	3	0	2	5	3	3	0	2
"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal (IPR001516)"	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1
Argininosuccinate synthase (IPR001518)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Ferritin (IPR001519)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
C-5 cytosine methyltransferase (IPR001525)	0	0	0	0	0	0	6	1	0	0	31	6	16	0	4	16	11	35	2	18
"tRNA/rRNA methyltransferase, SpoU type (IPR001537)"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1
"Mannose-6-phosphate isomerase, type II, C-terminal (IPR001538)"	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	2
Peptidase U32 (IPR001539)	0	0	3	1	0	0	2	0	0	0	3	0	2	0	1	2	2	2	2	2
"Flagellar motor switch protein FliN-like, C-terminal domain (IPR001543)"	0	1	0	0	0	0	0	1	0	0	2	1	3	0	3	3	2	3	1	3
Aminotransferase class IV (IPR001544)	0	0	0	0	0	0	2	2	0	0	2	1	1	0	1	4	3	2	0	4
"Glycoside hydrolase, family 5 (IPR001547)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phosphoribosylglycinamide formyltransferase, active site (IPR001555)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Nucleoside diphosphate kinase (IPR001564)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	5	6	4	6	0	6
Peptidase M3A/M3B catalytic domain (IPR001567)	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	1	1	1	1	1
Phosphoglycerate kinase (IPR001576)	0	0	0	0	0	0	0	5	0	0	13	3	13	0	11	13	12	13	6	13
"Integrase, catalytic core (IPR001584)"	0	8	0	0	2	0	14	0	0	0	0	0	3	2	0	1	0	0	5	0
Transaldolase/Fructose-6-phosphate aldolase (IPR001585)	0	0	2	0	0	0	0	0	0	0	2	4	5	0	2	2	2	2	2	2
"Ribonuclease J, conserved site (IPR001587)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
DNA/RNA non-specific endonuclease (IPR001604)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	1	2	1	2	0	2
"Alanine racemase, N-terminal (IPR001608)"	0	0	1	0	0	0	1	0	0	0	2	0	2	0	3	2	2	2	1	2
PAC motif (IPR001610)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucine-rich repeat (IPR001611)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DnaJ domain (IPR001623)	0	0	7	0	0	0	0	7	0	0	20	0	17	0	10	22	13	20	8	20
Flagellar hook-basal body complex protein FliE (IPR001624)	0	7	0	0	0	0	0	0	0	0	7	0	7	0	7	7	6	7	0	7
"ABC transporter, TroCD-like (IPR001626)"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EAL domain (IPR001633)	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solute-binding protein  family 3/N-terminal domain of MltF (IPR001638)	0	2	0	0	0	0	0	0	0	0	4	1	4	0	5	4	2	4	2	4
Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase Lgt (IPR001640)	0	0	0	0	0	0	4	0	0	1	5	1	5	0	3	6	6	5	0	5
Folylpolyglutamate synthetase (IPR001645)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	2	2	2	0	2
Pentapeptide repeat (IPR001646)	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"DNA-binding HTH domain, TetR-type (IPR001647)"	0	4	0	0	0	0	4	0	0	0	0	0	2	0	4	4	0	0	0	0
Ribosomal protein S18 (IPR001648)	0	6	0	0	0	0	0	0	0	0	8	0	8	0	8	8	8	8	0	8
"Helicase, C-terminal (IPR001650)"	0	0	6	0	0	0	3	4	0	0	20	0	18	0	6	22	15	19	2	18
"Diaminopimelate epimerase, DapF (IPR001653)"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	2	3	5	0	5
"Pseudouridine synthase, TruD (IPR001656)"	0	0	0	0	0	0	0	0	0	0	2	0	5	0	2	3	0	6	1	3
"Aromatic-ring-hydroxylating dioxygenase, alpha subunit (IPR001663)"	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0
DDH domain (IPR001667)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA (IPR001670)"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoglucose isomerase (PGI) (IPR001672)	0	0	0	0	0	0	6	3	0	0	10	5	10	0	12	10	10	10	11	10
"GMP synthase, C-terminal (IPR001674)"	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	1	3	0	3
SAM-dependent methyltransferase RsmB/NOP2-type (IPR001678)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent DNA ligase (IPR001679)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	3	0	3
WD40 repeat (IPR001680)	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein L27 (IPR001684)	0	0	0	0	0	0	1	0	0	0	7	0	7	0	0	7	0	7	0	7
Flagellar motor switch protein FliM (IPR001689)	0	0	0	0	0	0	0	0	0	0	6	8	7	0	8	8	11	8	0	8
"Histidinol dehydrogenase, conserved site (IPR001692)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"NADH:ubiquinone oxidoreductase, subunit 1/F420H2 oxidoreductase subunit H (IPR001694)"	0	0	3	3	0	0	1	0	0	0	3	2	3	0	3	3	2	5	1	3
Pyruvate kinase (IPR001697)	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein L33 (IPR001705)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	3	3	3	0	3
"Ribosomal protein L35, non-mitochondrial (IPR001706)"	0	0	0	0	0	0	1	0	0	0	5	0	5	0	0	5	0	5	0	5
Membrane  insertase YidC/ALB3/OXA1/COX18 (IPR001708)	0	0	0	0	0	0	2	0	0	0	10	0	9	0	9	11	9	10	0	10
Flavoprotein pyridine nucleotide cytochrome reductase (IPR001709)	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Type III secretion system FHIPEP (IPR001712)	0	2	0	0	0	0	0	4	0	0	10	0	11	0	10	8	10	9	0	9
"Peptidase M24, methionine aminopeptidase (IPR001714)"	0	0	0	0	0	0	4	0	0	0	4	2	4	0	4	4	4	4	2	4
Delta-aminolevulinic acid dehydratase (IPR001731)	0	0	0	0	0	0	0	8	0	0	10	0	10	0	9	10	10	10	3	10
Sodium/solute symporter (IPR001734)	14	1	20	18	18	9	7	19	3	2	9	15	12	8	11	16	10	19	10	7
Phospholipase D/Transphosphatidylase (IPR001736)	0	2	0	0	0	0	0	0	0	0	6	1	6	0	4	6	6	6	0	6
Ribosomal RNA adenine methyltransferase KsgA/Erm (IPR001737)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	3	2	3	0	3
"NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit (IPR001750)"	0	0	3	0	0	0	2	1	0	0	3	2	3	1	5	3	4	4	1	3
Enoyl-CoA hydratase/isomerase (IPR001753)	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Orotidine 5'-phosphate decarboxylase domain (IPR001754)	0	0	0	0	0	0	0	2	0	0	2	1	2	0	2	3	2	2	0	2
P-type ATPase (IPR001757)	0	1	4	1	0	0	7	0	0	0	6	5	6	0	11	4	9	3	5	3
Rhodanese-like domain (IPR001763)	0	0	3	0	0	0	3	3	0	0	3	0	3	0	3	3	3	3	0	3
Carbonic anhydrase (IPR001765)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	2	2	2	0	2
GspD/PilQ family (IPR001775)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flagellar P-ring protein (IPR001782)	0	0	0	0	0	0	0	0	0	0	12	1	12	0	4	12	12	12	0	12
Lumazine-binding protein (IPR001783)	0	0	0	0	0	0	1	0	0	0	4	3	4	0	4	6	3	4	0	4
Ribosomal protein L21 (IPR001787)	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	2	0	2	0	2
"Signal transduction response regulator, receiver domain (IPR001789)"	2	4	9	0	0	0	15	5	0	0	26	4	31	0	22	31	28	29	0	28
Ribosomal protein L10P (IPR001790)	0	2	0	0	0	0	3	0	0	0	2	0	3	0	3	6	3	3	0	3
Acylphosphatase-like domain (IPR001792)	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	2	2	2	2
"Chloride channel, voltage gated (IPR001807)"	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F-box domain (IPR001810)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Translation elongation factor EFTs/EF1B (IPR001816)	0	0	0	0	0	0	3	0	0	0	3	2	3	0	3	3	5	5	0	3
"[NiFe]-hydrogenase, small subunit (IPR001821)"	0	0	0	0	0	0	0	0	0	0	4	0	1	0	5	3	4	3	0	3
"Glycosyl transferase, family 20 (IPR001830)"	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zinc finger, RING-type (IPR001841)"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaperonin Cpn60/GroEL (IPR001844)	0	0	0	0	0	0	0	0	0	0	8	0	8	0	4	8	8	8	0	8
HTH ArsR-type DNA-binding domain (IPR001845)	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Ribosomal protein S10 (IPR001848)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	8	6	6	6	0	6
"ABC transporter, permease (IPR001851)"	0	3	2	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0
Pyridoxal 5'-phosphate synthase subunit PdxS/SNZ (IPR001852)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
